RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        40009     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   81   89     0     0  con    0  1.0D+00  6.3D-01  5.695D-02  1.724D+02
   82   90     0     0  con    0  1.0D+00  1.6D+00  2.983D-02  1.723D+02
   83   91     0     0  con    0  1.0D+00  1.6D+00  2.457D-02  1.723D+02
   84   92     0     0  con    0  1.0D+00  9.9D-01  2.490D-02  1.722D+02
   85   93     0     0  con    0  1.0D+00  3.9D+00  4.999D-02  1.720D+02
   86   94     0     0  con    0  1.0D+00  2.0D+00  6.074D-02  1.720D+02
   87   95     0     0  con    0  1.0D+00  3.4D-01  3.916D-02  1.719D+02
   88   96     0     0  con    0  1.0D+00  1.4D+00  7.318D-02  1.718D+02
   89   97     0     0  con    0  1.0D+00  1.7D+00  4.949D-02  1.717D+02
   90   98     0     0  con    0  1.0D+00  5.4D+00  5.085D-02  1.716D+02
   91   99     0     0  con    0  1.0D+00  5.8D-01  3.416D-02  1.714D+02
   92  100     0     0  con    0  1.0D+00  1.1D+00  3.522D-02  1.713D+02
   93  101     0     0  con    0  1.0D+00  1.9D+00  5.251D-02  1.711D+02
   94  102     0     0  con    0  1.0D+00  1.5D+00  5.217D-02  1.709D+02
   95  103     0     0  con    0  1.0D+00  5.5D-01  4.832D-02  1.708D+02
   96  104     0     0  con    0  1.0D+00  7.9D-01  4.545D-02  1.708D+02
   97  105     0     0  con    0  1.0D+00  1.1D+00  2.783D-02  1.707D+02
   98  106     0     0  con    0  1.0D+00  7.7D-01  2.176D-02  1.706D+02
   99  107     0     0  con    0  1.0D+00  1.1D+00  2.235D-02  1.706D+02
  100  108     0     0  con    0  1.0D+00  3.3D+00  4.343D-02  1.705D+02
  101  109     0     0  con    0  1.0D+00  9.7D-01  4.500D-02  1.704D+02
  102  110     0     0  con    0  1.0D+00  9.4D-01  4.359D-02  1.703D+02

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 8.799E+01 seconds.

